LookupType|LookupCode|DisplaySequence|EnabledFlag|StartDateActive|EndDateActive|Meaning|Description|Tag
GGS_PRODUCT_FAMILY|SK||Y|||SK||
GGS_PRODUCT_FAMILY|SLIMCASH||Y|||SLIMCASH||
GGS_PRODUCT_FAMILY|SOFTWARE||Y|||SOFTWARE||
GGS_PRODUCT_FAMILY|TAM||Y|||TAM||
GGS_PRODUCT_FAMILY|TCD/TS||Y|||TCD/TS||
GGS_PRODUCT_FAMILY|TI||Y|||TI||
GGS_PRODUCT_FAMILY|TRITON||Y|||TRITON||
GGS_PRODUCT_FAMILY|UD||Y|||UD||
GGS_PRODUCT_FAMILY|UH||Y|||UH||
GGS_PRODUCT_FAMILY|UHS||Y|||UHS||
GGS_PRODUCT_FAMILY|USF||Y|||USF||
GGS_PRODUCT_FAMILY|UW||Y|||UW||
GGS_PRODUCT_FAMILY|UW-F||Y|||UW-F||
GGS_PRODUCT_FAMILY|UWH||Y|||UWH||
GGS_PRODUCT_FAMILY|V6G||Y|||V6G||
GGS_PRODUCT_FAMILY|VERTERA||Y|||VERTERA||
GGS_PRODUCT_FAMILY|WR||Y|||WR||
GGS_PRODUCT_FAMILY|WS||Y|||WS||
GGS_PRODUCT_FAMILY|WTTN||Y|||WTTN||
